,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
351,2012-12-17,0,3.4,65.4,-0.4,,,
352,2012-12-18,0,3.4,49.4,-6.8,,,
353,2012-12-19,0,2.1,45,-6.9,,,
354,2012-12-20,0,2.4,49.1,-3.4,,,
355,2012-12-21,1.8,2.6,66.1,-0.7,,,
356,2012-12-22,0,2.9,67.4,-3,,,
357,2012-12-23,0,4.4,53.9,-8.9,,,
358,2012-12-24,0,1.9,52,-8.8,,,
359,2012-12-25,1,3.5,50.9,-8.9,,,
360,2012-12-26,0,2.4,33.5,-10.8,,,
361,2012-12-27,0,1.6,47.1,-5.7,,,
362,2012-12-28,0,1.8,59.5,-0.9,,,
363,2012-12-29,4.1,1.9,84.1,-0.3,,,
364,2012-12-30,2.3,4,54.6,-8.2,,,
365,2012-12-31,0,2.2,45.9,-8.7,,,
366,2013-01-01,3.1,3.2,73.5,-4.7,1749.59,2.2,3.1
367,2013-01-02,0,4.2,40.8,-11.7,,,
368,2013-01-03,0,2.8,42.8,-13.2,,,
369,2013-01-04,0,1.8,44.3,-10.7,,,
370,2013-01-05,0,2.3,59.4,-7,,,
371,2013-01-06,0,1.9,59.4,-6.3,,,
372,2013-01-07,0,1.7,53.6,-5.1,,,
373,2013-01-08,0,2.2,53.4,-4.6,,,
374,2013-01-09,0,3,38.5,-9,,,
375,2013-01-10,0,2.3,41.3,-8.3,,,
376,2013-01-11,0,2.3,50.5,-3.2,,,
377,2013-01-12,0.1,2.5,70,0,,,
378,2013-01-13,0,1.6,65.6,-0.5,,,
379,2013-01-14,0,2.2,61.6,-2.1,,,
380,2013-01-15,0,2,57,-2.1,,,
381,2013-01-16,0.3,2.4,64.1,-2.6,,,
382,2013-01-17,0,2.8,62.9,-5.8,,,
383,2013-01-18,0,2,51.9,-4.4,,,
384,2013-01-19,0,2,59.9,0.5,,,
385,2013-01-20,0,3.1,55.8,1.6,,,
386,2013-01-21,16.5,4.3,83.6,2.2,,,
387,2013-01-22,0.5,2.2,74.3,3.8,,,
388,2013-01-23,1.5,3.1,80.4,1.8,,,
389,2013-01-24,0.1,4.3,57.6,-0.9,,,
390,2013-01-25,0,4.7,37.5,-9.1,,,
391,2013-01-26,0,3.5,37,-9.2,,,
392,2013-01-27,0,2.6,44.9,-7.3,,,
393,2013-01-28,0,2.1,56,-3.5,,,
394,2013-01-29,0,2.7,63.5,2.2,,,
395,2013-01-30,0,2.1,68.8,5.4,,,
396,2013-01-31,0,2.9,59.5,7.4,,,
397,2013-02-01,46.5,3.7,85.8,7.3,1766.73,,
398,2013-02-02,0,4.1,52.1,-1.1,,,
399,2013-02-03,7.5,2.7,62.3,-3.2,,,
400,2013-02-04,7.4,2.6,77.1,-0.8,,,
401,2013-02-05,4.5,2.4,77,-0.6,,,
402,2013-02-06,2.1,3.3,75,-1.5,,,
403,2013-02-07,0,5.5,42.5,-11.1,,,
404,2013-02-08,0,2.7,39.3,-11.5,,,
405,2013-02-09,0,1.8,55.5,-7.2,,,
406,2013-02-10,1.2,2.9,56.6,-4,,,
407,2013-02-11,0,2.1,41.8,-5.8,,,
408,2013-02-12,0,2.3,55.6,-3.8,,,
409,2013-02-13,0,2,59.6,-1.3,,,
410,2013-02-14,0,2.3,60.1,1.1,,,
411,2013-02-15,0,3.9,48.4,-1.2,,,
412,2013-02-16,0,2.1,38.8,-2.6,,,
413,2013-02-17,0,2.5,44.5,2.3,,,
414,2013-02-18,0,3.5,49.8,0.5,,,
